Frame_No,Template_No,x,y,mx,my
129,3,573,152,575.78345,144.7776
129,4,675,219,677.9425,210.46002
129,5,1028,502,1016.8454,489.85178
130,1,106,242,106.196465,237.92761
130,2,210,227,211.01761,222.00957
130,3,573,152,575.1873,144.85762
130,4,675,219,677.33746,210.2183
130,5,1028,502,1016.13434,489.81763
131,1,106,242,106.84476,237.80215
131,2,210,227,211.44899,221.85564
131,3,573,152,575.6111,144.57443
131,4,675,219,677.89294,210.20123
131,5,1028,502,1016.43414,489.39166
132,1,106,242,106.5411,237.84163
132,2,210,227,211.17763,221.90659
132,3,573,152,575.2725,144.6719
132,4,675,219,677.6102,210.34721
132,5,1028,502,1015.6563,489.15158
133,1,106,242,106.580246,238.10075
133,2,210,227,211.3326,222.15897
133,3,573,152,575.5736,144.84206
133,4,675,219,677.77985,210.4658
133,5,1028,502,1015.50354,489.23706
134,1,106,242,106.5034,238.09987
134,2,210,227,211.35909,222.21733
134,3,573,152,575.6648,144.89233
134,4,675,219,677.8043,210.48369
134,5,1028,502,1015.2398,489.3835
135,1,106,242,106.12506,238.27325
135,2,210,227,211.09514,222.38496
135,3,573,152,575.60156,145.19801
135,4,675,219,677.9948,211.00238
135,5,1028,502,1014.6646,489.8336
136,1,106,242,106.602806,238.16858
136,2,210,227,211.44794,222.23302
136,3,573,152,575.84546,145.04703
136,4,675,219,678.1863,210.7054
136,5,1028,502,1014.99396,490.08942
137,1,106,242,106.68231,238.22394
137,2,210,227,211.535,222.2679
137,3,573,152,575.9653,145.31909
137,4,675,219,678.1725,210.85667
137,5,1028,502,1014.8995,490.07758
138,1,106,242,106.97553,238.7396
138,2,210,227,211.7606,222.76898
138,3,573,152,575.97797,145.67398
138,4,675,219,678.13995,210.98312
138,5,1028,502,1014.8056,490.0669
139,1,106,242,107.67327,238.51503
139,2,210,227,212.12627,222.38771
139,3,573,152,576.00055,145.20494
139,4,675,219,678.4281,210.64093
139,5,1028,502,1014.83325,489.52008
140,1,106,242,107.40446,238.97206
140,2,210,227,212.05617,223.06526
140,3,573,152,575.75964,145.6883
140,4,675,219,678.0899,211.11565
140,5,1028,502,1014.3866,489.9782
141,1,106,242,107.46354,238.99545
141,2,210,227,212.0817,223.0375
141,3,573,152,575.9136,145.64926
141,4,675,219,678.1399,211.1295
141,5,1028,502,1014.2613,489.8856
142,1,106,242,107.48036,238.96307
142,2,210,227,212.09924,222.9887
142,3,573,152,576.0692,145.60843
142,4,675,219,678.1824,211.11235
142,5,1028,502,1013.8683,489.62527
143,1,106,242,106.81447,239.53226
143,2,210,227,211.66216,223.51852
143,3,573,152,575.6477,145.96313
143,4,675,219,677.95496,211.67816
143,5,1028,502,1013.4643,489.84012
144,1,106,242,107.25671,239.52026
144,2,210,227,211.782,223.44144
144,3,573,152,575.97046,145.88437
144,4,675,219,678.13934,211.2795
144,5,1028,502,1014.0479,489.45728
145,1,106,242,107.2853,239.64935
145,2,210,227,211.98154,223.58484
145,3,573,152,575.9806,145.87393
145,4,675,219,678.09076,211.24449
145,5,1028,502,1014.0246,489.43918
146,1,106,242,107.091415,239.4384
146,2,210,227,211.78732,223.38809
146,3,573,152,575.7634,145.85246
146,4,675,219,678.04565,211.22134
146,5,1028,502,1013.7807,489.2678
147,1,106,242,106.673065,239.25198
147,2,210,227,211.56158,223.3405
147,3,573,152,575.6623,145.73895
147,4,675,219,677.87616,211.3157
147,5,1028,502,1013.3678,489.50912
148,1,106,242,106.98281,239.96408
148,2,210,227,211.82529,223.93964
148,3,573,152,575.85004,146.32596
148,4,675,219,678.16486,211.74516
148,5,1028,502,1013.74097,489.91177
149,1,106,242,107.16672,239.72789
149,2,210,227,212.04185,223.81099
149,3,573,152,575.90625,146.24626
149,4,675,219,678.3282,211.65685
149,5,1028,502,1013.76306,489.884
150,1,106,242,107.04626,239.6985
150,2,210,227,211.8525,223.7987
150,3,573,152,575.9336,146.21532
150,4,675,219,678.2936,211.67755
150,5,1028,502,1013.7895,489.858
151,1,106,242,106.80869,239.78937
151,2,210,227,211.72615,223.80794
151,3,573,152,575.9077,146.21495
151,4,675,219,678.1078,211.81648
151,5,1028,502,1013.7208,489.93933
152,1,106,242,106.799904,239.79143
152,2,210,227,211.6366,223.7967
152,3,573,152,575.904,146.23276
152,4,675,219,678.1286,211.81805
152,5,1028,502,1013.8389,489.91888
153,1,106,242,106.58318,239.93585
153,2,210,227,211.52898,223.96623
153,3,573,152,575.69525,146.63513
